City,Latitudes,Longitudes,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
Ushuaia,-54.8,-68.3,9.0,76,75,5.66,AR,1612669624
Rabo de Peixe,37.8,-25.5833,15.0,94,75,7.72,PT,1612669816
Bulgan,48.8125,103.5347,-10.89,87,0,1.06,MN,1612669817
Busselton,-33.65,115.3333,16.11,94,100,0.89,AU,1612669623
Sittwe,20.15,92.9,23.64,38,0,2.99,MM,1612669818
Souillac,-20.5167,57.5167,25.0,94,40,1.54,MU,1612669819
Kavaratti,10.5669,72.642,27.6,60,36,3.61,IN,1612669790
Jamestown,42.097,-79.2353,-9.0,53,1,3.09,US,1612669243
Nemuro,43.3236,145.575,-6.0,86,75,5.66,JP,1612669820
Provideniya,64.3833,-173.3,-19.13,86,1,3.97,RU,1612669632
Port Lincoln,-34.7333,135.8667,18.05,63,85,5.92,AU,1612669556
Mahabalipuram,12.6264,80.1722,25.0,73,20,1.54,IN,1612669822
Ancud,-41.8697,-73.8203,16.67,67,0,1.54,CL,1612669530
Caravelas,-17.7125,-39.2481,25.25,89,100,3.46,BR,1612669594
Padang,-0.9492,100.3543,32.0,55,20,0.51,ID,1612669726
Filingué,14.3521,3.3168,21.15,21,48,3.52,NE,1612669824
Tuktoyaktuk,69.4541,-133.0374,-26.0,76,90,9.77,CA,1612669650
Yulara,-25.2406,130.9889,33.0,19,0,5.66,AU,1612669827
Clyde River,70.4692,-68.5914,-24.0,84,20,1.03,CA,1612669473
Hithadhoo,-0.6,73.0833,27.63,74,71,5.1,MV,1612669624
Kutum,14.2,24.6667,7.28,56,6,3.58,SD,1612669635
Thompson,55.7435,-97.8558,-34.0,62,40,5.14,CA,1612669830
Port Alfred,-33.5906,26.891,20.0,83,37,1.79,ZA,1612669624
Rikitea,-23.1203,-134.9692,25.79,71,87,4.73,PF,1612669832
Sabang,5.8933,95.3214,28.05,78,7,8.1,ID,1612669832
Pevek,69.7008,170.3133,-22.08,87,0,2.01,RU,1612669774
Kaitangata,-46.2817,169.8464,18.89,74,3,4.02,NZ,1612669833
Vuktyl,63.8567,57.3094,-31.03,86,100,5.02,RU,1612669735
Tibati,6.4667,12.6333,16.85,29,68,1.72,CM,1612669835
Albany,42.6001,-73.9662,-5.0,51,7,0.79,US,1612669580
Siilinjärvi,63.0833,27.6667,-9.0,86,90,5.14,FI,1612669836
Hermanus,-34.4187,19.2345,18.89,94,97,4.86,ZA,1612669634
Hirara,24.8,125.2833,24.0,69,20,4.12,JP,1612669703
Avarua,-21.2078,-159.775,29.0,70,20,5.14,CK,1612669837
Bengkulu,-3.8004,102.2655,30.25,55,94,3.6,ID,1612669838
Saint Paul Harbor,57.79,-152.4072,1.0,60,1,2.57,US,1612669438
Arrondissement de Vierzon,47.2101,2.0625,6.0,87,98,2.57,FR,1612669839
Puerto Ayora,-0.7393,-90.3518,25.0,95,69,3.23,EC,1612669840
Yellowknife,62.456,-114.3525,-40.56,66,1,1.03,CA,1612669580
Punta Arenas,-53.15,-70.9167,9.0,76,0,5.14,CL,1612669842
Mut,36.6439,33.4389,9.01,53,0,0.86,TR,1612669843
Sechura,-5.5569,-80.8222,24.36,67,93,5.54,PE,1612669843
Izazi,-7.2,35.7333,18.0,88,75,1.23,TZ,1612669844
Fuling,29.7022,107.3919,13.74,72,99,0.72,CN,1612669845
Shimoda,34.6667,138.95,15.0,58,20,3.6,JP,1612669845
Butaritari,3.0707,172.7902,27.18,80,60,9.48,KI,1612669778
Hobart,-42.8794,147.3294,21.67,48,20,10.29,AU,1612669846
Vao,-22.6667,167.4833,25.86,80,0,5.09,NC,1612669545
Nikolskoye,59.7035,30.7861,-12.0,79,90,6.0,RU,1612669848
Ketchikan,55.3422,-131.6461,3.0,93,40,3.09,US,1612669849
Saskylakh,71.9167,114.0833,-41.23,78,22,3.46,RU,1612669850
Mabaruma,8.2,-59.7833,22.26,97,100,1.49,GY,1612669623
Isil'kul',54.9109,71.2728,-9.06,94,100,11.43,RU,1612669851
Vallenar,-28.5708,-70.7581,15.99,71,0,0.65,CL,1612669852
Batagay-Alyta,67.8006,130.4114,-30.67,84,100,0.98,RU,1612669852
Bluff,-46.6,168.3333,16.16,77,0,5.0,NZ,1612669777
Sæby,57.3319,10.5225,-5.56,79,6,3.6,DK,1612669853
Bethel,41.3712,-73.414,0.0,68,1,1.69,US,1612669628
Sisophon,13.5859,102.9737,32.01,37,0,3.15,KH,1612669855
Barrow,71.2906,-156.7887,-20.0,77,90,6.69,US,1612669771
North Branch,45.5113,-92.9802,-24.0,64,90,3.09,US,1612669856
Ndola,-12.9587,28.6366,16.97,99,100,1.41,ZM,1612669857
Eyl,7.9803,49.8164,24.02,80,16,5.98,SO,1612669858
High Level,58.5169,-117.136,-34.0,68,1,0.79,CA,1612669781
Saldanha,-33.0117,17.9442,19.0,88,2,2.57,ZA,1612669859
Carnarvon,-24.8667,113.6333,30.0,100,40,5.66,AU,1612669786
Acajutiba,-11.6622,-38.0172,23.6,91,100,4.0,BR,1612669860
Mount Gambier,-37.8333,140.7667,18.0,59,90,8.23,AU,1612669861
Khatanga,71.9667,102.5,-37.0,78,0,4.03,RU,1612669631
Murray Bridge,-35.1167,139.2667,17.78,78,74,1.79,AU,1612669862
Whittlesea,-32.1759,26.8244,17.15,88,21,1.42,ZA,1612669863
Bambanglipuro,-7.95,110.2833,31.87,58,8,0.55,ID,1612669820
Kapaa,22.0752,-159.319,22.0,56,75,1.54,US,1612669772
Aginskoye,51.1,114.53,-16.55,87,18,3.29,RU,1612669865
Cazzago San Martino,45.5938,10.0419,10.0,77,100,2.47,IT,1612669866
Lompoc,34.6391,-120.4579,10.56,93,40,2.0,US,1612669868
Yumen,40.2833,97.2,3.31,51,100,1.86,CN,1612669707
Vaini,-21.2,-175.2,28.0,83,75,4.12,TO,1612669641
Churhat,24.428,81.6703,17.47,40,0,2.55,IN,1612669870
Eilat,29.5581,34.9482,13.0,94,0,2.23,IL,1612669668
Pangody,65.85,74.4859,-24.97,89,100,7.85,RU,1612669871
São Filipe,14.8961,-24.4956,20.31,75,19,6.74,CV,1612669871
Klaksvík,62.2266,-6.589,2.0,64,75,7.72,FO,1612669874
Bereda,43.2686,-7.5406,2.22,100,78,0.89,ES,1612669875
Faya,18.3851,42.4509,9.0,87,0,1.65,SA,1612669875
Qaanaaq,77.484,-69.3632,-11.0,89,100,1.92,GL,1612669876
San Cristobal,7.7669,-72.225,18.75,88,100,0.75,VE,1612669877
Pisco,-13.7,-76.2167,21.0,83,75,1.54,PE,1612669768
New Norfolk,-42.7826,147.0587,21.67,43,19,2.24,AU,1612669878
Castro,-24.7911,-50.0119,15.97,90,67,4.3,BR,1612669878
Alyangula,-13.8483,136.4192,30.0,70,90,8.75,AU,1612669880
Władysławowo,54.7909,18.4009,-9.44,92,0,2.06,PL,1612669735
Saint-Philippe,-21.3585,55.7679,28.0,69,0,2.06,RE,1612669667
Lagunas,-5.2269,-75.6753,22.82,85,80,0.63,PE,1612669881
Isangel,-19.55,169.2667,31.0,70,40,2.57,VU,1612669495
Egvekinot,66.3167,-179.1667,-21.13,74,0,3.05,RU,1612669766
Dikson,73.5069,80.5464,-33.11,87,91,4.49,RU,1612669883
Lüderitz,-26.6481,15.1594,19.46,73,0,11.06,NA,1612669884
Wenling,28.3669,121.36,20.0,75,60,2.15,CN,1612669884
Mana,5.6592,-53.7767,24.65,89,100,4.79,GF,1612669885
Chui,-33.6971,-53.4616,18.89,90,0,3.21,UY,1612669885
Salinópolis,-0.6136,-47.3561,25.84,88,52,3.99,BR,1612669648
Cape Town,-33.9258,18.4232,21.11,83,40,6.69,ZA,1612669368
Mataura,-46.1927,168.8643,26.03,46,15,1.86,NZ,1612669887
Sørland,67.667,12.6934,1.94,80,100,8.63,NO,1612669551
Kavieng,-2.5744,150.7967,29.52,63,35,1.76,PG,1612669888
Nanortalik,60.1432,-45.2371,-2.78,93,100,1.45,GL,1612669632
Coyhaique,-45.5752,-72.0662,16.0,55,0,6.69,CL,1612669495
Wad Medani,14.4012,33.5199,13.81,40,0,5.08,SD,1612669890
Ordu,40.9086,37.6845,8.0,76,0,2.62,TR,1612669891
Atuona,-9.8,-139.0333,26.57,80,86,9.79,PF,1612669892
Marsh Harbour,26.5412,-77.0636,23.81,89,0,7.91,BS,1612669893
Lima,-12.0432,-77.0282,23.89,73,75,3.09,PE,1612669750
Tocopilla,-22.092,-70.1979,19.84,68,12,1.94,CL,1612669894
Mar del Plata,-38.0023,-57.5575,17.78,77,20,5.14,AR,1612669895
Sinnamary,5.3833,-52.95,25.09,87,97,5.19,GF,1612669895
Conil,44.9673,3.7177,2.63,100,100,3.63,FR,1612669896
Ajdabiya,30.7554,20.2263,14.89,44,42,5.83,LY,1612669896
Lyuban',52.7985,28.0048,-19.01,92,0,2.16,BY,1612669897
East London,-33.0153,27.9116,19.0,94,20,5.14,ZA,1612669898
Alofi,-19.0595,-169.9187,29.0,79,100,4.63,NU,1612669898
Nantucket,41.2835,-70.0995,3.33,75,1,4.12,US,1612669626
Manokwari,-0.8667,134.0833,25.24,88,100,0.14,ID,1612669899
Bundaberg,-24.85,152.35,32.0,48,48,6.69,AU,1612669900
Dingle,10.9995,122.6711,28.25,79,73,6.23,PH,1612669901
Vostok,46.4856,135.8833,-19.23,89,100,2.44,RU,1612669901
George Town,5.4112,100.3354,31.0,66,20,1.54,MY,1612669709
Yatou,37.15,122.3833,2.92,72,0,8.32,CN,1612669902
Tongchuanshi,35.0806,109.0897,9.44,42,100,1.89,CN,1612669903
Cidreira,-30.1811,-50.2056,19.3,78,64,3.38,BR,1612669904
Velyka Mykhaylivka,47.0794,29.8514,-5.21,94,96,3.26,UA,1612669904
Kuching,1.55,110.3333,25.0,94,40,2.06,MY,1612669905
Aykhal,66.0,111.5,-33.71,83,60,3.92,RU,1612669731
St. George's,12.0564,-61.7485,25.0,73,20,5.14,GD,1612669662
Glendive,47.1053,-104.7125,-18.89,65,90,5.66,US,1612669907
Barretos,-20.5572,-48.5678,18.83,72,0,1.91,BR,1612669908
