City,Latitudes,Longitudes,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
Vaini,-21.2,-175.2,25.0,94,90,6.17,TO,1612764388
Bluff,-46.6,168.3333,15.81,78,100,6.16,NZ,1612764389
Jamestown,42.097,-79.2353,-11.11,85,90,2.57,US,1612764111
Waipawa,-41.4122,175.5153,21.0,68,20,7.72,NZ,1612764390
Ponta do Sol,32.6667,-17.1,15.0,77,48,2.68,PT,1612764391
Itarema,-2.9248,-39.9167,25.12,89,16,2.9,BR,1612764163
Taoudenni,22.6783,-3.9836,13.27,38,0,3.77,ML,1612764393
Antofagasta,-23.65,-70.4,18.0,82,0,3.6,CL,1612764393
Mataura,-46.1927,168.8643,22.44,57,97,0.36,NZ,1612764100
Puerto Escondido,15.85,-97.0667,24.92,77,1,2.49,MX,1612764108
Tay Ninh,11.3,106.1,33.34,44,0,2.67,VN,1612764396
Butaritari,3.0707,172.7902,27.53,78,50,8.13,KI,1612764111
Pisco,-13.7,-76.2167,22.0,83,20,4.12,PE,1612764202
Albany,42.6001,-73.9662,-7.78,50,19,0.89,US,1612764392
Carutapera,-1.195,-46.02,24.94,91,24,2.69,BR,1612764398
Netivot,31.4222,34.5886,16.06,62,0,1.92,IL,1612764114
Kirakira,-10.4544,161.9205,28.34,77,23,3.67,SB,1612764399
Hofn,64.2539,-15.2082,2.96,80,100,6.22,IS,1612764400
Pevek,69.7008,170.3133,-21.97,81,0,0.83,RU,1612764400
Tuktoyaktuk,69.4541,-133.0374,-34.0,68,1,3.6,CA,1612764401
Saint-Philippe,-21.3585,55.7679,31.0,48,75,2.57,RE,1612764402
Bandarbeyla,9.4942,50.8122,25.56,68,94,9.17,SO,1612764402
Bambous Virieux,-20.3428,57.7575,30.0,62,40,5.14,MU,1612764403
Ramnagar,29.4,79.1167,22.58,28,0,2.11,IN,1612764403
Kānkānhalli,12.55,77.4167,26.67,38,100,3.09,IN,1612764404
Kahului,20.8947,-156.47,21.0,68,40,2.06,US,1612764405
